flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp
IBE8530,BOMBARDIER CRJ-1000,2018-04-16,09:00,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Salida prevista a las 09:00,7,17,Abertura De Claros,810 - 859, - ,2018-04-16,09:55,PAMPLONA,PNA,-,Llegada prevista a las 09:55,5,19,Nubosidad Variable,-, - ,2018-04-15 18:48:39
IBE8536,CANADAIR CRJ-200,2018-04-16,12:15,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Salida prevista a las 12:15,7,17,Abertura De Claros,810 - 859, - ,2018-04-16,13:10,PAMPLONA,PNA,-,Llegada prevista a las 13:10,5,19,Nubosidad Variable,-, - ,2018-04-15 18:48:41
IBE8524,BOMBARDIER CRJ-1000,2018-04-16,16:20,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Salida prevista a las 16:20,7,17,Abertura De Claros,810 - 819, - ,2018-04-16,17:15,PAMPLONA,PNA,-,Llegada prevista a las 17:15,5,19,Nubosidad Variable,-, - ,2018-04-15 18:48:42
VLG2488,AIRBUS A319,2018-04-15,16:40,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 16:47,14,22,Nubes Altas,501 - 514,B35,2018-04-15,17:50,SAN SEBASTIAN,EAS,1,El vuelo ha aterrizado a las 17:49,12,18,Chubascos Dispersos,LLEG,1,2018-04-15 18:48:15
VLG1701,AIRBUS A320,2018-04-15,17:00,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 17:12,14,22,Nubes Altas,403 - 403,A06,2018-04-15,18:25,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 18:33,7,17,Abertura De Claros,10,14,2018-04-15 18:48:41
IBS3879,32A,2018-04-15,17:50,SANTIAGO,SCQ,T,El vuelo ha despegado a las 18:00,10,15,Lluvia Débil,5 - 8,3,2018-04-15,19:10,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Llegada prevista a las 19:02,7,17,Abertura De Claros,10,17,2018-04-15 18:48:11
RYR724,BOEING 737-800 WINGLETS,2018-04-15,18:35,SANTIAGO,SCQ,T,Salida prevista a las 18:58,10,15,Lluvia Débil,23 - 24,14,2018-04-15,20:30,PALMA DE MALLORCA,PMI,N,Llegada prevista a las 20:22,11,21,Despejado,NT,18,2018-04-15 18:48:13
AEA2630,BOEING 737-800 WINGLETS,2018-04-15,20:15,SANTIAGO,SCQ,T,Salida prevista a las 20:15,10,15,Lluvia Débil,14 - 16,6,2018-04-15,21:50,BARCELONA-EL PRAT,BCN,T1,Llegada prevista a las 21:50,14,22,Nubes Altas,T1_G,04,2018-04-15 18:48:16
VLG1673,32A,2018-04-15,21:15,SANTIAGO,SCQ,T,Salida prevista a las 21:15,10,15,Lluvia Débil,5 - 8,3,2018-04-15,22:55,BARCELONA-EL PRAT,BCN,T1,Llegada prevista a las 22:55,14,22,Nubes Altas,T1_G,04,2018-04-15 18:48:18
RYR2002,BOEING 737-800 WINGLETS,2018-04-15,21:15,SANTIAGO,SCQ,T,Salida prevista a las 21:05,10,15,Lluvia Débil,23 - 24,14,2018-04-15,23:00,LANZAROTE,ACE,1,Llegada prevista a las 23:00,15,25,Despejado,1,5,2018-04-15 18:48:20
VLG3981,AIRBUS A320,2018-04-15,21:45,SANTIAGO,SCQ,T,Salida prevista a las 21:45,10,15,Lluvia Débil,5 - 8,6,2018-04-15,23:35,PALMA DE MALLORCA,PMI,N,Llegada prevista a las 23:35,11,21,Despejado,NT,12,2018-04-15 18:48:29
IBE8359,CANADAIR CRJ-200,2018-04-15,21:45,SANTIAGO,SCQ,T,Salida prevista a las 21:45,10,15,Lluvia Débil,5 - 8,5,2018-04-15,22:45,BILBAO,BIO,O,Llegada prevista a las 22:45,10,19,Lluvia Débil,N,2,2018-04-15 18:48:30
RYR7004,BOEING 737-800 WINGLETS,2018-04-15,22:25,SANTIAGO,SCQ,T,Salida prevista a las 22:25,10,15,Lluvia Débil,23 - 24,8,2018-04-16,00:20,GRAN CANARIA,LPA,-,Llegada prevista a las 00:20,17,23,Abertura De Claros,01,15,2018-04-15 18:48:32
RYR5318,BOEING 737-800 WINGLETS,2018-04-15,22:25,SANTIAGO,SCQ,T,Salida prevista a las 22:25,10,15,Lluvia Débil,23 - 24,11,2018-04-15,23:40,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,1,Llegada prevista a las 23:40,7,17,Abertura De Claros,02,11,2018-04-15 18:48:36
RYR6380,BOEING 737-800 WINGLETS,2018-04-15,22:30,SANTIAGO,SCQ,T,Salida prevista a las 22:30,10,15,Lluvia Débil,23 - 24,14,2018-04-16,00:20,BARCELONA-EL PRAT,BCN,T2 B,Llegada prevista a las 00:20,14,22,Nubes Altas,B,23,2018-04-15 18:48:37
IBS3895,AIRBUS A320,2018-04-16,06:40,SANTIAGO,SCQ,T,Salida prevista a las 06:40,10,15,Lluvia Débil,5 - 8,6,2018-04-16,07:55,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,-,Llegada prevista a las 07:55,7,17,Abertura De Claros,-, - ,2018-04-15 18:48:38
RYR5316,BOEING 737-800 WINGLETS,2018-04-16,06:45,SANTIAGO,SCQ,T,Salida prevista a las 06:45,10,15,Lluvia Débil,23 - 24,8,2018-04-16,08:00,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,-,Llegada prevista a las 08:00,7,17,Abertura De Claros,-, - ,2018-04-15 18:48:39
IBE8353,CANADAIR CRJ-200,2018-04-16,08:30,SANTIAGO,SCQ,T,Salida prevista a las 08:30,10,15,Lluvia Débil,5 - 8,5,2018-04-16,09:30,BILBAO,BIO,O,Llegada prevista a las 09:30,10,19,Lluvia Débil,N,2,2018-04-15 18:48:41
RYR7223,BOEING 737-800 WINGLETS,2018-04-16,08:30,SANTIAGO,SCQ,T,Salida prevista a las 08:35,10,15,Lluvia Débil,23 - 24,14,2018-04-16,10:00,VALENCIA,VLC,1,Llegada prevista a las 10:00,11,26,Despejado,3,9,2018-04-15 18:48:42
